기업명,분기라벨,ROE,ROA,영업이익률,순이익률,EPS,부채비율,유동비율,유동자산,자기자본비율,매출액,매출액 성장률,당기순이익,순이익 성장률,수익성점수,안정성점수,성장성점수
SK하이닉스,2022_Q4,3.54,2.16,15.26,5.02,3079.21,64.12,144.8,28733332000000,60.93,44621568000000,306.2828312019713,2241669000000,103.29777364229726,621.038,38.745000000000005,204.7903024221343
SK하이닉스,2023_Q1,4.24,2.48,66.87,50.81,8327.89,71.1,166.9,28834021000000,58.45,5088111000000,-88.59719362618543,2585491000000,15.337768421653683,1690.4579999999999,41.57500000000002,-36.629712602265876
SK하이닉스,2023_Q2,5.2,2.91,39.45,40.9,4104.25,78.94,149.98,29661132000000,55.88,7305933000000,43.58831794353544,2987907000000,15.564393765052742,838.542,23.989999999999995,29.576355854294093
SK하이닉스,2023_Q3,3.96,2.14,19.77,24.1,8327.89,84.77,150.09,30393967000000,54.12,9066171000000,24.093267759230752,2184699000000,-26.881961185538906,1675.5719999999997,17.335000000000008,-1.3943467131540768
SK하이닉스,2023_Q4,17.08,9.11,23.59,27.89,12551.53,87.52,145.03,30468100000000,53.33,32765719000000,261.4063643847,9137547000000,318.25198803130314,2525.84,11.66000000000001,289.82917620800157
SK하이닉스,2024_Q1,3.45,1.86,23.22,15.42,13585.25,85.92,141.13,33026065000000,53.79,12429598000000,-62.06523653578302,1917039000000,-79.02020093576536,2725.84,11.539999999999992,-70.54271873577419
SK하이닉스,2024_Q2,6.89,3.9,33.3,25.09,5659.33,76.54,152.79,35683696000000,56.64,16423258000000,32.13024266754243,4120003000000,114.91492869993776,1145.702,28.174999999999997,73.52258568374009
SK하이닉스,2024_Q3,8.81,5.31,40.0,32.74,7902.96,65.95,160.99,37078030000000,60.26,17573069000000,7.001113908093015,5753373000000,39.64487404499464,1597.964,44.675,23.322993976543827
SK하이닉스,2024_Q4,26.78,16.52,35.45,29.91,27193.46,62.15,169.35,42278887000000,61.67,66192960000000,276.6727371297523,19796902000000,244.09210040788247,5460.424,53.35999999999999,260.3824187688174
SK하이닉스,2025_Q1,9.96,6.54,42.18,45.97,11137.59,52.24,166.0,41228190000000,65.68,17639141000000,-73.35193803087216,8108195000000,-59.04311189700287,2248.448,63.6,-66.19752496393752
DB하이텍,2022_Q1,12.74,9.41,45.96,40.17,3574.09,35.37,274.14,928694598649,73.87,395024842725,-67.47915671272189,158684674713,-49.92465924652617,736.474,138.635,-58.701907979624025
DB하이텍,2022_Q2,11.44,8.76,48.93,36.94,3624.99,30.68,317.34,1065759518747,76.52,435741782862,10.30743784520547,160944371349,1.424016931746519,746.212,166.24999999999997,5.865727388475994
DB하이텍,2022_Q3,10.82,8.31,49.25,38.18,6595.296666666666,30.27,324.35,1246087717810,76.77,447380224871,2.6709492793088208,170827730654,6.14085427291422,1340.3713333333333,170.29,4.40590177611152
DB하이텍,2022_Q4,34.11,26.33,45.89,33.36,12586.81,29.57,328.36,1327724119744,77.18,1675287533666,274.4661566454041,558836662217,227.1346285977924,2545.3,173.20000000000002,250.80039262159826
DB하이텍,2023_Q1,4.61,3.64,27.83,25.61,3878.73,26.46,351.35,1251214254058,79.08,298167417121,-82.20201540755659,76358431703,-86.33618070080206,788.0840000000001,188.755,-84.26909805417932
DB하이텍,2023_Q2,4.81,4.06,29.12,25.99,1807.96,18.34,492.11,1122193652114,84.51,308817373901,3.571804351673391,80270928182,5.123856516877989,374.38800000000003,269.97,4.34783043427569
DB하이텍,2023_Q3,3.11,2.63,18.78,19.6,3878.73,17.93,484.48,1118672006100,84.8,267801570379,-13.281572537155494,52501851578,-34.59418899584489,784.5699999999999,266.71,-23.937880766500193
DB하이텍,2023_Q4,15.18,12.93,23.0,22.89,5949.5,17.43,466.95,1027982955095,85.16,1154223638940,330.9995782722677,264149250979,403.1236861933594,1204.7,258.625,367.0616322328135
DB하이텍,2024_Q1,2.49,2.09,15.69,16.79,3305.12,19.36,410.6,1094807518232,83.78,261498168765,-77.34423729138392,43912898744,-83.37572467790525,668.4359999999999,227.82999999999998,-80.35998098464458
DB하이텍,2024_Q2,3.52,2.95,22.61,21.48,1443.73,19.43,409.09,1173350570757,83.73,298387736089,14.107007899222213,64099392514,45.96939475046193,298.858,226.98,30.03820132484207
DB하이텍,2024_Q3,3.63,3.04,16.35,24.67,3305.12,19.17,373.85,1115847184071,83.92,287793117958,-3.55062117158862,70985731258,10.74321998058867,670.562,209.71500000000003,3.5962994045000247
DB하이텍,2024_Q4,11.47,9.57,16.87,20.28,5166.51,19.8,376.93,1194370198832,83.47,1131167709804,293.0489088238311,229385888355,223.14365759125505,1044.94,210.39999999999998,258.0962832075431
DB하이텍,2025_Q1,2.33,1.9,17.65,15.43,1033.82,22.52,332.06,1216051539626,81.62,297380601926,-73.71029960026635,45900203431,-79.9899619980265,214.22599999999997,184.32,-76.85013079914643
하나마이크론,2022_Q1,7.14,2.93,15.7,15.46,695.92,143.46,83.67,358260498200,41.08,215660306827,-67.78843113147626,33349986118,-48.10871757611862,147.43,-81.08500000000001,-57.94857435379744
하나마이크론,2022_Q2,3.73,1.51,14.87,7.54,381.13,146.88,85.11,381907391748,40.5,242225703676,12.318167046989515,18264560606,-45.23367853475039,81.756,-84.07499999999999,-16.457755743880437
하나마이크론,2022_Q3,4.2,1.61,11.6,9.94,455.96,160.09,80.0,407099796874,38.45,219807036732,-9.255279932631389,21850519336,19.633424572075352,96.662,-100.86500000000001,5.189072319721982
하나마이크론,2022_Q4,11.93,4.13,11.58,6.51,1215.12,188.61,86.74,383477863614,34.65,894395892458,306.9004822391074,58230571627,166.49513785725793,249.85399999999998,-127.91500000000002,236.69781004818267
하나마이크론,2023_Q1,2.48,0.9,7.05,5.83,289.41,176.38,77.93,381748239624,36.18,237890459525,-73.40210732953796,13869142191,-76.18236983857936,61.134,-119.32499999999999,-74.79223858405865
하나마이크론,2023_Q2,3.27,1.17,7.41,7.65,397.76,180.21,65.2,376534639685,35.69,249241716070,4.771631686140432,19061507806,37.43826073374201,83.452,-129.76500000000001,21.10494620994122
하나마이크론,2023_Q3,0.12,0.04,6.62,0.28,13.99,206.47,75.87,463515186760,32.63,239389902439,-3.952714572159788,670472095,-96.4825862580034,4.21,-152.22,-50.21765041508159
하나마이크론,2023_Q4,0.18,0.06,5.98,0.1,20.07,216.89,66.95,431596263534,31.56,967971484717,304.3493375680927,963094987,43.64430588270791,5.2780000000000005,-167.635,173.9968217254003
하나마이크론,2024_Q1,3.19,0.93,4.03,6.27,323.3,241.31,72.28,509804209073,29.3,268960709331,-72.2139842363606,16855504150,1650.1393297149414,67.54400000000001,-190.52,788.9626727392904
하나마이크론,2024_Q2,1.78,0.52,6.51,3.24,177.35,245.02,71.34,506214727069,28.98,285938044991,6.312199169249899,9252202986,-45.10871402206027,37.88,-194.86,-19.398257426405184
하나마이크론,2024_Q3,0.55,0.17,5.6,1.02,48.56,222.2,90.35,568774978747,31.04,312110685202,9.153255633339665,3192663689,-65.49293510063508,11.180000000000001,-161.505,-28.169839733647706
하나마이크론,2024_Q4,1.84,0.57,8.54,0.89,168.36,220.99,99.24,615552798363,31.15,1250692575645,300.7208451820686,11157290055,249.46650013408288,36.040000000000006,-155.79500000000002,275.0936726580758
하나마이크론,2025_Q1,0.1,0.03,3.77,0.18,8.66,229.38,95.93,640851320953,30.36,311772740280,-75.07199240235241,574196269,-94.85362246415131,2.548,-166.23499999999999,-84.96280743325187
성우테크론,2022_Q1,3.44,2.49,15.1,18.75,224.11,38.47,209.9,41547005260,72.22,11681750713,-73.38868752564566,2189812241,-61.11287000881591,52.778,102.59,-67.25077876723078
성우테크론,2022_Q2,0.62,0.45,12.31,3.28,40.47,37.96,182.51,36141326685,72.48,12038876016,3.0571214176191357,395458434,-81.94098897632384,11.425999999999998,89.535,-39.441933779352354
성우테크론,2022_Q3,0.93,0.69,6.92,6.15,61.54,35.72,184.69,34244729180,73.68,9780616761,-18.75805724719409,601276610,52.04546377180059,15.246,93.465,16.64370326230325
성우테크론,2022_Q4,6.87,5.2,10.88,10.83,492.44,32.29,187.53,32468555287,75.59,44409948471,354.0608180057082,4811753389,700.2562063739681,105.244,99.27000000000001,527.1585121898381
성우테크론,2023_Q1,2.45,1.87,2.94,21.31,175.53,30.9,150.01,25491949729,76.39,8203283702,-81.52827466720255,1748218866,-63.66773762768996,40.82,82.29999999999998,-72.59800614744626
성우테크론,2023_Q2,1.0,0.76,17.39,10.8,70.84,31.34,119.54,22201682227,76.14,6531054902,-20.38487099492004,705533071,-59.64274927347684,20.158,66.5,-40.01381013419844
성우테크론,2023_Q3,0.81,0.59,4.14,6.42,56.81,35.69,122.49,26298782519,73.7,8819709345,35.04264590241228,565820716,-19.802382162182163,13.754,62.405,7.62013187011506
성우테크론,2023_Q4,1.53,1.13,2.39,3.11,105.61,35.79,134.11,28691372606,73.64,33775629980,282.9562705390945,1051808342,85.89074458701862,22.753999999999998,68.08500000000001,184.42350756305655
성우테크론,2024_Q1,1.48,1.13,6.54,9.1,101.64,31.41,133.57,23931464659,76.1,11333196641,-66.44563951076302,1031843209,-1.8981721481725944,23.978,73.425,-34.1719058294678
성우테크론,2024_Q2,1.02,0.77,2.81,7.28,70.67,32.09,149.74,27971352541,75.7,9858148019,-13.015291878583756,717449983,-30.46908902997878,16.509999999999998,80.63,-21.742190454281268
성우테크론,2024_Q3,0.59,0.43,0.57,4.14,40.88,35.16,150.79,31594499248,73.98,10026469306,1.7074331474389304,414958836,-42.161983994360206,9.322,77.225,-20.22727542346064
성우테크론,2024_Q4,3.18,2.28,2.84,5.4,221.68,39.48,145.06,34093446048,71.7,41687064810,315.77013341130754,2250364932,442.3104020852806,47.076,68.9,379.04026774829407
성우테크론,2025_Q1,1.46,1.08,4.36,9.12,103.67,35.35,110.92,24519834649,73.88,11543781871,-72.30848004383641,1052454026,-53.23185093074495,23.938,57.050000000000004,-62.77016548729068
이오테크닉스,2022_Q1,4.12,3.44,21.63,19.55,1649.48,19.71,407.41,393465093544,83.54,103941703901,-73.40693510192801,20320823209,-71.913082729122,339.644,225.76500000000001,-72.660008915525
이오테크닉스,2022_Q2,4.92,4.2,25.36,20.78,2061.36,17.19,469.08,413052437667,85.33,122205847121,17.571525705789682,25394970863,24.970187486069385,423.32400000000007,260.015,21.270856595929533
이오테크닉스,2022_Q3,5.73,4.94,20.33,26.95,2532.7,15.82,519.16,443271922066,86.34,115758652926,-5.275683894745575,31201709874,22.86570456145043,518.1299999999999,286.93,8.795010333352426
이오테크닉스,2022_Q4,14.33,12.54,20.75,17.27,6269.98,14.24,556.2,423736681537,87.54,447157589742,286.2843756724177,77243298170,147.56110636861567,1266.974,307.63,216.9227410205167
이오테크닉스,2023_Q1,2.5,2.18,11.44,16.14,1098.87,14.35,548.0,425565984287,87.45,83883758743,-81.24067204329484,13537594386,-82.47408551068605,226.22599999999997,303.375,-81.85737877699044
이오테크닉스,2023_Q2,2.26,2.04,12.6,14.47,1020.44,10.62,740.09,435043838134,90.4,86856560546,3.54395397577254,12571375020,-7.137304741522044,210.362,404.625,-1.7966753828747521
이오테크닉스,2023_Q3,1.4,1.3,3.99,10.69,642.07,7.63,1011.7,431272949201,92.91,73960526593,-14.847507052930265,7910055820,-37.07883340194874,131.89000000000001,544.6750000000001,-25.963170227439505
이오테크닉스,2023_Q4,6.47,5.95,8.96,11.5,2954.11,8.75,913.07,429338086912,91.95,316384019477,327.7741574475813,36393252840,360.0884452418441,597.398,493.76000000000005,343.93130134471267
이오테크닉스,2024_Q1,1.84,1.65,7.62,14.37,849.76,11.82,706.5,456816844765,89.43,72839993085,-76.97734758999253,10468720968,-71.23444553300887,175.048,386.14500000000004,-74.1058965615007
이오테크닉스,2024_Q2,1.87,1.7,8.83,14.6,882.32,9.8,808.95,444914843461,91.08,74426708310,2.1783571878547514,10869732916,3.830572514309849,181.864,440.21500000000003,3.0044648510823
이오테크닉스,2024_Q3,0.81,0.75,12.57,5.71,384.24,8.58,871.43,418061496030,92.1,82969295459,11.477851624740222,4733683744,-56.450781444389264,80.816,473.185,-22.48646490982452
이오테크닉스,2024_Q4,7.08,6.53,9.72,13.3,3463.62,8.29,926.38,445645616892,92.35,320945496298,286.8244204346631,42670270031,801.4178457757147,700.05,501.075,544.1211331051888
이오테크닉스,2025_Q1,2.36,2.12,17.07,17.05,1173.85,11.56,676.09,464215291596,89.64,84824768259,-73.5703509669319,14461318440,-66.1091471193085,242.48999999999995,371.305,-69.83974904312021
에이디테크놀로지,2022_Q1,1.84,1.34,6.08,4.63,378.5733333333333,37.09,271.96,154078231279,72.95,66206379113,-79.44435317648112,3063912637,-79.52012975135621,78.49266666666666,135.36499999999998,-79.48224146391865
에이디테크놀로지,2022_Q2,2.87,2.14,3.22,9.65,369.67,33.92,290.14,154098089540,74.67,51091996356,-22.829194043678196,4929253720,60.88101404961827,77.51,148.485,19.025910002970036
에이디테크놀로지,2022_Q3,2.62,2.02,3.97,17.33,344.5,29.62,320.25,148721713116,77.15,26503829826,-48.1252804425061,4593670995,-6.807982385617595,74.088,169.07999999999998,-27.466631414061847
에이디테크놀로지,2022_Q4,3.35,2.4,2.68,3.42,421.55,39.63,259.59,156298251900,71.62,164248769577,519.7171150558534,5621152191,22.36732228142517,86.68,125.975,271.04221866863924
에이디테크놀로지,2023_Q1,2.17,1.49,33.0,19.73,266.37,46.13,232.62,157651094004,68.43,18118871416,-88.96864100555356,3575421258,-36.39344503561761,64.55199999999999,104.39500000000001,-62.68104302058559
에이디테크놀로지,2023_Q2,2.82,1.81,28.31,21.97,333.2,55.84,238.21,145396001892,64.17,20363493983,12.388313352772462,4473942964,25.130513054638225,77.622,95.35,18.759413203705343
에이디테크놀로지,2023_Q3,1.59,0.93,15.45,11.14,184.39,71.05,203.03,161899538584,58.46,22215388890,9.09419036117285,2475823705,-44.66125909690967,42.7,59.69500000000001,-17.78353436786841
에이디테크놀로지,2023_Q4,10.93,5.62,17.38,16.23,1210.72,94.57,172.42,179752659944,51.39,100172177678,350.91345541599475,16256430677,556.6069564714827,252.17600000000002,17.335000000000008,453.7602059437387
에이디테크놀로지,2024_Q1,0.37,0.2,12.29,1.83,41.74,86.75,175.03,164084471029,53.55,30589183817,-69.4633934031784,561006520,-96.5490178554772,11.286,27.539999999999992,-83.00620562932781
에이디테크놀로지,2024_Q2,1.82,0.98,21.91,13.28,199.64,86.02,172.72,155488983862,53.76,20201187493,-33.95970414296197,2683390971,378.31725217739,47.525999999999996,27.22,172.178774017214
에이디테크놀로지,2024_Q3,2.94,1.68,4.93,12.04,308.22,75.05,183.89,130895114007,57.13,34416927561,70.37081395797131,4142758013,54.385181204368,65.962,45.459999999999994,62.37799758116965
에이디테크놀로지,2024_Q4,11.53,6.2,15.91,14.24,1129.15,86.04,160.96,123943170286,53.75,106545463919,209.57285112147372,15176761422,266.34438638161413,235.40600000000003,21.314999999999998,237.95861875154392
에이디테크놀로지,2025_Q1,1.34,0.73,4.75,5.34,129.57,83.19,165.83,118061857933,54.59,32640510178,-69.36471157250337,1741552880,-88.52487146911679,28.345999999999997,27.02000000000001,-78.94479152081007
어보브반도체,2022_Q1,5.57,4.39,12.32,11.61,363.22,26.79,244.93,67694312690,78.87,54622893254,-67.38907512510866,6341694125,-53.73539441264163,79.422,135.11,-60.56223476887514
어보브반도체,2022_Q2,7.31,5.41,16.41,13.34,493.52,35.14,229.32,81563163971,74.0,64609423858,18.28268333858109,8616759127,35.87471986438639,107.19800000000001,116.52,27.078701601483743
어보브반도체,2022_Q3,3.21,2.38,11.54,8.9,228.13,34.89,240.69,92364090068,74.13,45570009767,-29.468478364464666,4056250247,-52.9260341711302,50.832,122.52,-41.19725626779743
어보브반도체,2022_Q4,7.31,3.82,10.65,5.22,711.7,91.56,99.78,127473142993,52.2,242576796583,432.3167535475591,12654577621,211.97724130456,147.74,-15.569999999999993,322.14699742605956
어보브반도체,2023_Q1,4.63,2.33,7.08,12.45,423.49,98.73,97.48,120541760645,50.32,60467662863,-75.07277542008829,7529897568,-40.496650354380094,89.99600000000001,-24.83,-57.78471288723419
어보브반도체,2023_Q2,1.58,0.8,3.48,4.18,142.26,97.05,93.26,117418080420,50.75,60497193507,0.0488370851489783,2529496104,-66.40729729512304,30.459999999999997,-25.045,-33.179230104987035
어보브반도체,2023_Q3,4.0,2.0,9.79,12.44,359.31,99.78,107.99,126994890736,50.05,51348709720,-15.122162296572396,6388758282,152.5703942337442,77.50800000000001,-20.760000000000005,68.7241159685859
어보브반도체,2023_Q4,23.78,11.6,6.3,14.39,1880.89,105.02,100.58,109505921106,48.77,232436389092,352.6625700226066,33443728959,423.4777633272806,387.392,-30.345,388.0701666749436
어보브반도체,2024_Q1,2.01,0.93,1.94,4.45,153.72,115.36,100.91,115675468936,46.43,61399074447,-73.58456879886488,2733185896,-91.8275085312684,32.61,-41.69,-82.70603866506664
어보브반도체,2024_Q2,1.72,0.93,0.58,4.34,157.61,84.73,102.96,124899976045,54.13,64505917980,5.060082030522861,2802362147,2.5309749732441933,33.036,-6.185000000000002,3.795528501883527
어보브반도체,2024_Q3,3.21,1.68,3.53,9.5,291.32,91.4,114.6,132080517078,52.25,54511704660,-15.493482819822358,5179837111,84.83824856630851,61.848,-7.9750000000000085,34.67238287324307
어보브반도체,2024_Q4,11.71,6.17,2.2,7.8,1017.67,89.57,112.66,126223672324,52.75,232116611005,325.8105895839361,18094850997,249.3324328398944,209.10999999999999,-6.864999999999995,287.57151121191526
어보브반도체,2025_Q1,2.78,1.45,6.75,7.07,245.42,92.37,116.65,137537467021,51.98,61745605469,-73.39888549912098,4363666723,-75.88448380302515,52.693999999999996,-8.055000000000007,-74.64168465107306
LX세미콘,2022_Q1,12.01,7.25,21.86,16.62,5980.06,65.71,230.16,1180755322623,60.35,585084729392,-69.18734763686443,97261425718,-67.1884128911257,1207.56,79.545,-68.18788026399505
LX세미콘,2022_Q2,9.23,6.29,18.29,13.86,5105.15,46.83,271.69,1105471479834,68.11,599159232237,2.405549510688098,83031760971,-14.630327122961903,1030.5639999999999,123.07000000000001,-6.112388806136902
LX세미콘,2022_Q3,4.35,2.87,12.62,8.58,2525.54,51.48,253.55,1190466151540,66.02,478638916678,-20.11490586718151,41076174628,-50.52956344940532,510.79200000000003,108.305,-35.32223465829342
LX세미콘,2022_Q4,24.59,18.12,14.66,11.03,14368.44,35.7,311.23,1009649198828,73.69,2119345363613,342.7858433080088,233692540409,468.9247904056311,2887.368,156.76,405.85531685681997
LX세미콘,2023_Q1,3.91,2.68,7.51,6.85,2194.7,45.72,261.9,1057982651070,68.63,521465160860,-75.39498895210637,35695179571,-84.72558023952,443.12999999999994,119.54499999999999,-80.06028459581319
LX세미콘,2023_Q2,0.51,0.37,1.72,1.03,287.93,37.46,298.29,987181230143,72.75,454467665509,-12.847933165948769,4682959568,-86.88069474847356,58.312,148.06,-49.864313957211166
LX세미콘,2023_Q3,1.49,1.06,3.62,3.37,855.8,40.93,279.39,1033453141561,70.96,412765017097,-9.176153019663868,13919059002,197.2278278273617,173.06799999999998,134.24499999999998,94.02583740384891
LX세미콘,2023_Q4,10.36,8.4,6.79,5.32,6222.43,23.37,435.47,902885508054,81.05,1901444975029,360.6603990817757,101203533006,627.0860263718854,1250.66,234.89,493.87321272683056
LX세미콘,2024_Q1,4.06,2.91,10.09,8.74,2463.95,39.45,288.43,1064983545656,71.71,458321584541,-75.89614264099282,40074476353,-60.402097473589066,497.95,140.62,-68.14912005729094
LX세미콘,2024_Q2,4.3,3.18,11.56,9.14,2723.99,35.23,319.1,1080450653897,73.95,484883424512,5.795459098353639,44303868523,10.553830155495936,550.434,161.29500000000002,8.174644626924788
LX세미콘,2024_Q3,2.4,1.8,8.16,6.04,4404.07,33.51,347.01,1070846777894,74.9,419850482315,-13.412077812816747,25358702362,-42.76187789597824,884.4939999999999,177.445,-28.086977854397492
LX세미콘,2024_Q4,12.09,8.7,8.96,7.0,8024.27,38.92,319.55,1124302602321,71.98,1865621538499,344.3537919052063,130509153930,414.6523353875074,1612.2040000000002,156.84500000000003,379.50306364635685
LX세미콘,2025_Q1,4.18,2.85,12.53,9.52,2788.75,46.55,282.35,1223887815164,68.23,476232791196,-74.47323686136488,45357109827,-65.2460318213941,563.566,128.74,-69.85963434137949
텔레칩스,2022_Q1,2.36,1.17,7.13,7.25,187.55,101.35,218.5,83652601857,49.66,34945923593,-74.3821688084352,2533015975,-63.97566348671931,41.092,32.72999999999999,-69.17891614757725
텔레칩스,2022_Q2,1.8,0.87,4.33,7.03,164.91,107.57,175.3,113901769602,48.18,32486332484,-7.038277590387332,2285028196,-9.79021772651868,35.788,4.170000000000016,-8.414247658453005
텔레칩스,2022_Q3,25.98,13.95,10.4,114.37,3218.67,86.21,156.79,143745356847,53.7,38993560861,20.03066483483449,44597536980,1851.728081870899,676.674,19.03500000000001,935.8793733528667
텔레칩스,2022_Q4,27.05,14.8,6.1,30.52,3312.48,82.81,117.4,119729294352,54.7,150404311782,285.71576552894186,45897422695,2.91470292537217,678.1899999999999,3.240000000000009,144.31523422715702
텔레칩스,2023_Q1,5.02,3.0,5.79,19.33,640.33,67.51,123.97,99829581374,59.7,45889448898,-69.48927304390489,8872348020,-80.6691803176858,134.69400000000002,24.325000000000003,-75.07922668079534
텔레칩스,2023_Q2,5.76,3.6,11.29,24.13,792.41,60.13,170.28,122358164008,62.45,48266176228,5.179245746190664,11648457945,31.289461580430668,167.438,56.23500000000001,18.234353663310667
텔레칩스,2023_Q3,5.01,3.2,12.31,20.66,715.62,56.44,183.26,131543105078,63.92,52461004343,8.691030536963297,10837477187,-6.962129767126013,151.35999999999999,67.15,0.8644503849186416
텔레칩스,2023_Q4,25.44,16.71,8.78,32.78,4136.11,52.23,244.46,162366894669,65.69,191094718185,264.2605027833369,62638246233,477.9781138375743,843.9639999999999,102.845,371.1193083104556
텔레칩스,2024_Q1,2.6,1.66,2.24,13.6,407.4,57.02,218.04,155195787722,63.69,45379814410,-76.25271130410442,6169740759,-90.15020194523012,85.5,83.845,-83.20145662466727
텔레칩스,2024_Q2,7.05,4.2,2.32,33.98,1031.97,67.81,141.39,139415472081,59.59,45997549696,1.3612556464397407,15628347203,153.30638374395917,215.904,32.67999999999999,77.33381969519945
텔레칩스,2024_Q3,4.6,2.6,2.98,20.48,643.74,76.71,140.25,129914676004,56.59,47606496475,3.497896713267568,9748977085,-37.6199097808078,134.88,21.710000000000008,-17.06100653377012
텔레칩스,2024_Q4,19.11,10.2,2.61,20.66,2546.17,87.31,124.33,139782155852,53.39,186615513099,291.99589744437293,38559807022,295.5266966554779,519.75,1.5499999999999972,293.7612970499254
텔레칩스,2025_Q1,1.76,0.95,5.75,7.71,230.02,86.06,119.48,126650363030,53.74,45203612354,-75.77714113723259,3483550872,-90.96584982903964,49.238,0.5499999999999972,-83.37149548313612
주성엔지니어링,2022_Q1,6.37,3.23,28.6,23.02,510.47,97.22,163.46,269206041326,50.71,106988849751,-71.6431560539623,24629726153,-83.07275821880624,114.33800000000001,9.865000000000009,-77.35795713638427
주성엔지니어링,2022_Q2,7.07,3.81,29.1,24.2,596.68,85.58,195.74,257626492879,53.88,118976388273,11.204474625065265,28789116686,16.88768485350525,132.17199999999997,39.230000000000004,14.046079739285258
주성엔지니어링,2022_Q3,7.13,4.06,29.14,29.79,649.24,75.74,,0,56.9,105150090412,-11.621043521067854,31325273268,8.809428262984254,143.872,-18.839999999999996,-1.4058076290418002
주성엔지니어링,2022_Q4,21.91,12.74,28.29,24.24,2200.48,71.9,228.12,290340647014,58.17,437938720318,316.4891524125797,106171290850,238.93173075191703,457.532,71.245,277.71044158224834
주성엔지니어링,2023_Q1,2.16,1.24,16.87,15.16,215.82,74.57,,0,57.28,68704739435,-84.311791525282,10413071268,-90.19219679384732,50.25,-17.289999999999992,-87.25199415956466
주성엔지니어링,2023_Q2,1.57,0.93,27.59,23.21,152.35,68.44,,0,59.37,31665170538,-53.91122825237158,7350781744,-29.40812988969548,41.129999999999995,-9.07,-41.65967907103353
주성엔지니어링,2023_Q3,0.84,0.53,7.18,4.6,82.04,59.17,,0,62.82,86070880475,171.8156226940577,3958457504,-46.14916288011067,19.038000000000004,3.6499999999999986,62.833229906973514
